Abbreviation,Equation
EX_ac(e),[e] : ac <==>
EX_acgam(e),[e] : acgam <==>
EX_acoa(e),[e] : acoa <==>
EX_ade(e),[e] : ade <==>
EX_akg(e),[e] : akg <==>
EX_ala-L-asp-L(e),[e] : ala-L-asp-L <==>
EX_ala-L-gln-L(e),[e] : ala-L-gln-L <==>
EX_ala-L-glu-L(e),[e] : ala-L-glu-L <==>
EX_ala-L-his-L(e),[e] : ala-L-his-L <==>
EX_ala-L-leu-L(e),[e] : ala-L-leu-L <==>
EX_ala-L-thr-L(e),[e] : ala-L-thr-L <==>
EX_arbt(e),[e] : arbt <==>
EX_arg-L(e),[e] : arg-L <==>
EX_asn-L(e),[e] : asn-L <==>
EX_ca2(e),[e] : ca2 <==>
EX_cellb(e),[e] : cellb <==>
EX_cgly(e),[e] : cgly <==>
EX_cl(e),[e] : cl <==>
EX_co2(e),[e] : co2 <==>
EX_coa(e),[e] : coa <==>
EX_cobalt2(e),[e] : cobalt2 <==>
EX_csn(e),[e] : csn <==>
EX_cu2(e),[e] : cu2 <==>
EX_datp(e),[e] : datp <==>
EX_dgtp(e),[e] : dgtp <==>
EX_fe2(e),[e] : fe2 <==>
EX_fe3(e),[e] : fe3 <==>
EX_fol(e),[e] : fol <==>
EX_fru(e),[e] : fru <==>
EX_gal(e),[e] : gal <==>
EX_gam(e),[e] : gam <==>
EX_glc-D(e),[e] : glc-D <==>
EX_glu-L(e),[e] : glu-L <==>
EX_gly-asn-L(e),[e] : gly-asn-L <==>
EX_gly-asp-L(e),[e] : gly-asp-L <==>
EX_gly-gln-L(e),[e] : gly-gln-L <==>
EX_gly-glu-L(e),[e] : gly-glu-L <==>
EX_gly-met-L(e),[e] : gly-met-L <==>
EX_gly-pro-L(e),[e] : gly-pro-L <==>
EX_glyc3p(e),[e] : glyc3p <==>
EX_glyc(e),[e] : glyc <==>
EX_gtp(e),[e] : gtp <==>
EX_h2o(e),[e] : h2o <==>
EX_h(e),[e] : h <==>
EX_his-L(e),[e] : his-L <==>
EX_ile-L(e),[e] : ile-L <==>
EX_k(e),[e] : k <==>
EX_L-alagly(e),[e] : L-alagly <==>
EX_lac-L(e),[e] : lac-L <==>
EX_leu-L(e),[e] : leu-L <==>
EX_lys-L(e),[e] : lys-L <==>
EX_malt(e),[e] : malt <==>
EX_man(e),[e] : man <==>
EX_met-L-ala-L(e),[e] : met-L-ala-L <==>
EX_met-L(e),[e] : met-L <==>
EX_mg2(e),[e] : mg2 <==>
EX_mn2(e),[e] : mn2 <==>
EX_mnl(e),[e] : mnl <==>
EX_mobd(e),[e] : mobd <==>
EX_mqn7(e),[e] : mqn7 <==>
EX_nac(e),[e] : nac <==>
EX_nh4(e),[e] : nh4 <==>
EX_ni2(e),[e] : ni2 <==>
EX_orn-L(e),[e] : orn-L <==>
EX_phe-L(e),[e] : phe-L <==>
EX_pi(e),[e] : pi <==>
EX_ppa(e),[e] : ppa <==>
EX_pro-L(e),[e] : pro-L <==>
EX_ptrc(e),[e] : ptrc <==>
EX_pydx(e),[e] : pydx <==>
EX_rib-D(e),[e] : rib-D <==>
EX_ribflv(e),[e] : ribflv <==>
EX_salcn(e),[e] : salcn <==>
EX_ser-L(e),[e] : ser-L <==>
EX_so4(e),[e] : so4 <==>
EX_spmd(e),[e] : spmd <==>
EX_sucr(e),[e] : sucr <==>
EX_thm(e),[e] : thm <==>
EX_thymd(e),[e] : thymd <==>
EX_tre(e),[e] : tre <==>
EX_trp-L(e),[e] : trp-L <==>
EX_tyr-L(e),[e] : tyr-L <==>
EX_ura(e),[e] : ura <==>
EX_val-L(e),[e] : val-L <==>
EX_zn2(e),[e] : zn2 <==>
